题型,题目内容,正确答案,题目解析,题目分值,科目,难度1～3,所属章节,选项A,选项B,选项C,选项D
选择,为解决计算机主机与打印机之间速度不匹配问题，通常设置一个打印数据缓冲区，主机将要输出的数据依次写入该缓冲区，而打印机则依次从该缓冲区中取出数据。该缓冲区的逻辑结构应该是,B,这类问题一般都先分析题目中的数据具有什么操作特性或是结构特性比如“先进后出”、“先进先出”等再判断其逻辑结构。栈和队列是操作受限的线性表，栈具有先进后出的特性而队列具有先进先出的特性。由于本题中先进入打印数据缓冲区的文件先被打印，因此打印数据缓冲区具有先进先出性，则它的逻辑结构应该是队列。,5,408,2,第一章,栈,队列,树,图
选择,设栈S和队列Q的初始状态均为空，元素a，b，c，d，e，f，g依次进入栈S。若每个元素出栈后立即进入队列Q，且7个元素出队的顺序是b，d，c，f，e，a，g，则栈S的容量至少是(),C,由于栈具有先进后出的特性，队列具有先进先出的特性，出队顺序即为人队顺序。在本题中，每个元素出栈S后立即进入队列Q，出栈顺序即为入队顺序，所以本题中队列的作用形同虚设，根据题意出队顺序即为出栈顺序。根据出栈顺序可以分析各个元素进出栈的过程：**个出栈元素为b，表明栈内还有元素a，b出栈前的深度为2；第二个出栈元素为d，栈内元素为a和c，d出栈前的深度为3；c出栈后，剩余元素为a，c出栈前的深度为2；f出栈后，剩余元素为a和e，f出栈前的深度为3；e出栈后，剩余元素为a，e出栈前的深度为2；a出栈后，无剩余元素，a出栈前的深度为1；g出栈后，无剩余元素，g出栈前的深度为1。所以栈容量至少是3。,5,408,2,第一章,1,2,3,4
选择,世界上首先实现存储程序的电子数字计算机是,A,暂无,2,计算机基础,1,第一章,ENIAC,UNIVAC,EDVAC,EDSAC
选择,计算机科学的奠基人是,B,暂无,2,计算机基础,1,第一章,查尔斯.巴贝奇,图灵,阿塔诺索夫,冯诺依曼
选择,世界上首次提出存储程序计算机体系结构的是,B,暂无,2,计算机基础,1,第一章,艾仑•图灵,冯•诺依曼,莫奇莱,比尔•盖茨
选择,计算机所具有的存储程序和程序原理是____提出的,C,暂无,2,计算机基础,1,第一章,图灵,布尔,冯•诺依曼,爱因斯坦
选择,电子计算机技术在半个世纪中虽有很大进步，但至今其运行仍遵循着一位科学家提出的基本原理。他就是____。,D,暂无,2,计算机基础,1,第一章,牛顿,爱因斯坦,爱迪生,冯诺依曼
选择,1946年世界上有了第一台电子数字计算机，奠定了至今仍然在使用的计算机____。,C,暂无,2,计算机基础,1,第一章,外型结构　,总线结构,存取结构,体系结构
选择,在计算机应用领域里，____是其最广泛的应用方面。,C,暂无,2,计算机基础,1,第一章,过程控制,科学计算,数据处理,计算机辅助系统
判断,数字传输系统一般不采用FDM方式进行多路复用。,T,暂无,2,计算机网络,2,第一章,,,,
判断,ADSL技术的下行信息传输速率比上行信息传输速率低。,F,非对称数字用户线ADSL，由于用户在上网时主要是从互联网下载各种文档，向互联网发送的信息量一般都不太大。因此ADSL的下行（从ISP到用户）带宽都远远大于上行（从用户到ISP）,2,计算机网络,2,第一章,,,,
判断,对讲机采用全双工的通信方式,F,对讲机要实现的是广播通信，要达到一呼百应这种效果。采用同一载频的半双工通信方式,2,计算机网络,2,第一章,,,,
判断,在数据传输中，多模光纤的性能要优于单模光纤。,F,多模光纤适合于近距离传输，单模管线适合于远距离传输,2,计算机网络,2,第一章,,,,
判断,如果要实现双向同时通信就必须要有两条数据传输线路。,F,选择哪种通信模块和协议的问题，不一定必须是两条数据线路,2,计算机网络,2,第一章,,,,
判断,将计算机的输出通过同轴电缆、光纤等介质基础上的数字信道传送的，称为数字通信。,T,暂无,2,计算机网络,2,第一章,,,,
判断,一个信道的带宽越宽，则在单位时间内能够传输的信息量越小。,F,暂无,2,计算机网络,2,第一章,,,,
判断,光纤的速率高指的是光纤的传播速率高,F,光纤的速率高指的光纤传输速度光速，传播速率是指电磁波在信道中传播的速度，单位是“米每秒”，即m/s，更常用的是千米每秒（km/s）。,2,计算机网络,2,第一章,,,,
判断,对模拟信号进行数字化的技术称为脉码调制PCM技术。,T,暂无,2,计算机网络,2,第一章,,,,
判断,LAN交换机可以隔离冲突域，不能隔离广播域。,T,暂无,2,计算机网络,2,第一章,,,,
填空,N层的功能包括N层协议和N层服务，对N+1层非透明的是（ ）,协议,暂无,5,计算机网络,3,第一章,,,,
填空,TCP/IP协议自下向上包括（）层、（）层、（）层和（）层。,网络接口层、网络层、传输层、应用层,,5,计算机网络,3,第一章,,,,
